КодФирмы,Территория
2554,"04. див. Урал"
2595,"11. див. Северо-Западный"
3759,"06. див. Средняя Волга"
1812,"02. див. Восточная Сибирь"
2668,"10. див. Приволжский"
2576,"08. див. Центральный"
938,"01. див. Дальний Восток"
2089,"09. див. Черноземье"
2533,"04. див. Урал"
2565,"04. див. Урал"
4310,"05. див. Юг"
4371,"02. див. Восточная Сибирь"
1876,"06. див. Средняя Волга"
2588,"11. див. Северо-Западный"
2010,"04. див. Урал"
1815,"04. див. Урал"
1816,"02. див. Восточная Сибирь"
2115,"10. див. Приволжский"
2844,"02. див. Восточная Сибирь"
3028,"07. див. Верхняя Волга"
1904,"03. див. Западная Сибирь"
2664,"09. див. Черноземье"
1818,"04. див. Урал"
265,"01. див. Дальний Восток"
38,"03. див. Западная Сибирь"
266,"01. див. Дальний Восток"
321,"03. див. Западная Сибирь"
558,"08. див. Центральный"
2665,"09. див. Черноземье"
540,"07. див. Верхняя Волга"
534,"05. див. Юг"
535,"01. див. Дальний Восток"
225,"09. див. Черноземье"
3847,"04. див. Урал"
4818,"05. див. Юг"
339,"09. див. Черноземье"
995,"08. див. Центральный"
711,"08. див. Центральный"
2637,"11. див. Северо-Западный"
516,"04. див. Урал"
1833,"04. див. Урал"
542,"10. див. Приволжский"
541,"02. див. Восточная Сибирь"
751,"09. див. Черноземье"
852,"10. див. Приволжский"
2338,"02. див. Восточная Сибирь"
1296,"02. див. Восточная Сибирь"
1629,"03. див. Западная Сибирь"
1628,"09. див. Черноземье"
147,"05. див. Юг"
1603,"03. див. Западная Сибирь"
1675,"02. див. Восточная Сибирь"
2653,"06. див. Средняя Волга"
1864,"04. див. Урал"
202,"07. див. Верхняя Волга"
3356,"10. див. Приволжский"
17,"02. див. Восточная Сибирь"
1612,"02. див. Восточная Сибирь"
1486,"11. див. Северо-Западный"
2234,"09. див. Черноземье"
1433,"08. див. Центральный"
1599,"05. див. Юг"
3023,"04. див. Урал"
1865,"04. див. Урал"
457,"01. див. Дальний Восток"
3325,"08. див. Центральный"
1600,"07. див. Верхняя Волга"
547,"09. див. Черноземье"
1598,"10. див. Приволжский"
125,"04. див. Урал"
1653,"08. див. Центральный"
1626,"02. див. Восточная Сибирь"
2018,"04. див. Урал"
60,"03. див. Западная Сибирь"
3639,"02. див. Восточная Сибирь"
3714,"05. див. Юг"
3764,"08. див. Центральный"
3928,"09. див. Черноземье"
4232,"03. див. Западная Сибирь"
4503,"01. див. Дальний Восток"
2907,"08. див. Центральный"
2842,"02. див. Восточная Сибирь"
5,"01. див. Дальний Восток"
195,"06. див. Средняя Волга"
25,"01. див. Дальний Восток"
1632,"09. див. Черноземье"
285,"08. див. Центральный"
2215,"05. див. Юг"
1863,"03. див. Западная Сибирь"
1601,"06. див. Средняя Волга"
459,"02. див. Восточная Сибирь"
2167,"01. див. Дальний Восток"
2715,"11. див. Северо-Западный"
1602,"04. див. Урал"
1613,"01. див. Дальний Восток"
77,"02. див. Восточная Сибирь"
1605,"09. див. Черноземье"
2233,"01. див. Дальний Восток"
2168,"01. див. Дальний Восток"
2981,"06. див. Средняя Волга"
3352,"04. див. Урал"
3418,"06. див. Средняя Волга"
3455,"06. див. Средняя Волга"
3468,"06. див. Средняя Волга"
3556,"08. див. Центральный"
3585,"03. див. Западная Сибирь"
3780,"02. див. Восточная Сибирь"
3902,"07. див. Верхняя Волга"
4006,"06. див. Средняя Волга"
4007,"06. див. Средняя Волга"
4247,"06. див. Средняя Волга"
4696,"06. див. Средняя Волга"
4795,"03. див. Западная Сибирь"
4796,"03. див. Западная Сибирь"
3964,"06. див. Средняя Волга"
3383,"06. див. Средняя Волга"
4353,"09. див. Черноземье"
1057,"10. див. Приволжский"
431,"07. див. Верхняя Волга"
2181,"04. див. Урал"
1565,"10. див. Приволжский"
4177,"11. див. Северо-Западный"
3501,"10. див. Приволжский"
4299,"08. див. Центральный"
1631,"05. див. Юг"
1005,"05. див. Юг"
1596,"09. див. Черноземье"
47,"03. див. Западная Сибирь"
3896,"04. див. Урал"
754,"02. див. Восточная Сибирь"
869,"09. див. Черноземье"
3999,"03. див. Западная Сибирь"
4470,"04. див. Урал"
367,"06. див. Средняя Волга"
4248,"08. див. Центральный"
2605,"02. див. Восточная Сибирь"
3379,"04. див. Урал"
3998,"08. див. Центральный"
475,"02. див. Восточная Сибирь"
1364,"04. див. Урал"
3393,"06. див. Средняя Волга"
4339,"04. див. Урал"
3302,"06. див. Средняя Волга"
4320,"11. див. Северо-Западный"
3602,"08. див. Центральный"
112,"02. див. Восточная Сибирь"
4400,"08. див. Центральный"
2078,"09. див. Черноземье"
2064,"01. див. Дальний Восток"
3733,"10. див. Приволжский"
1581,"05. див. Юг"
1375,"03. див. Западная Сибирь"
997,"07. див. Верхняя Волга"
2817,"11. див. Северо-Западный"
3114,"06. див. Средняя Волга"
1044,"01. див. Дальний Восток"
1834,"04. див. Урал"
3697,"09. див. Черноземье"
824,"10. див. Приволжский"
4000,"03. див. Западная Сибирь"
2477,"04. див. Урал"
3788,"08. див. Центральный"
2805,"10. див. Приволжский"
1190,"04. див. Урал"
3254,"08. див. Центральный"
177,"03. див. Западная Сибирь"
178,"03. див. Западная Сибирь"
3570,"05. див. Юг"
3831,"03. див. Западная Сибирь"
2946,"09. див. Черноземье"
3419,"10. див. Приволжский"
3779,"11. див. Северо-Западный"
643,"10. див. Приволжский"
2921,"07. див. Верхняя Волга"
3907,"09. див. Черноземье"
2396,"06. див. Средняя Волга"
1264,"07. див. Верхняя Волга"
1966,"10. див. Приволжский"
4008,"11. див. Северо-Западный"
3809,"10. див. Приволжский"
1436,"02. див. Восточная Сибирь"
3413,"07. див. Верхняя Волга"
3524,"10. див. Приволжский"
2137,"03. див. Западная Сибирь"
1298,"01. див. Дальний Восток"
4508,"09. див. Черноземье"
434,"03. див. Западная Сибирь"
2275,"01. див. Дальний Восток"
3158,"08. див. Центральный"
4509,"03. див. Западная Сибирь"
3465,"09. див. Черноземье"
3534,"11. див. Северо-Западный"
661,"05. див. Юг"
2720,"01. див. Дальний Восток"
1378,"07. див. Верхняя Волга"
1892,"07. див. Верхняя Волга"
3834,"04. див. Урал"
2335,"01. див. Дальний Восток"
3904,"08. див. Центральный"
2345,"04. див. Урал"
512,"05. див. Юг"
2570,"06. див. Средняя Волга"
1122,"09. див. Черноземье"
1245,"10. див. Приволжский"
652,"03. див. Западная Сибирь"
1693,"09. див. Черноземье"
2710,"11. див. Северо-Западный"
3075,"04. див. Урал"
4023,"11. див. Северо-Западный"
1416,"06. див. Средняя Волга"
1105,"03. див. Западная Сибирь"
350,"09. див. Черноземье"
3819,"05. див. Юг"
1938,"01. див. Дальний Восток"
2828,"07. див. Верхняя Волга"
4139,"05. див. Юг"
2943,"02. див. Восточная Сибирь"
3433,"09. див. Черноземье"
4240,"05. див. Юг"
1088,"08. див. Центральный"
1926,"05. див. Юг"
2372,"01. див. Дальний Восток"
432,"05. див. Юг"
2978,"03. див. Западная Сибирь"
1588,"03. див. Западная Сибирь"
1997,"09. див. Черноземье"
3801,"11. див. Северо-Западный"
1912,"11. див. Северо-Западный"
3528,"09. див. Черноземье"
647,"09. див. Черноземье"
635,"03. див. Западная Сибирь"
4322,"06. див. Средняя Волга"
4197,"04. див. Урал"
3373,"04. див. Урал"
1472,"11. див. Северо-Западный"
3552,"10. див. Приволжский"
2729,"02. див. Восточная Сибирь"
3835,"07. див. Верхняя Волга"
4268,"10. див. Приволжский"
1909,"05. див. Юг"
3845,"04. див. Урал"
4271,"04. див. Урал"
3844,"02. див. Восточная Сибирь"
750,"08. див. Центральный"
2916,"01. див. Дальний Восток"
2238,"10. див. Приволжский"
3185,"08. див. Центральный"
937,"01. див. Дальний Восток"
3371,"08. див. Центральный"
3045,"11. див. Северо-Западный"
2032,"04. див. Урал"
3423,"10. див. Приволжский"
548,"06. див. Средняя Волга"
4086,"11. див. Северо-Западный"
1463,"11. див. Северо-Западный"
368,"02. див. Восточная Сибирь"
2650,"02. див. Восточная Сибирь"
3826,"01. див. Дальний Восток"
1369,"03. див. Западная Сибирь"
2886,"07. див. Верхняя Волга"
529,"04. див. Урал"
3871,"05. див. Юг"
779,"09. див. Черноземье"
2651,"02. див. Восточная Сибирь"
241,"03. див. Западная Сибирь"
2138,"05. див. Юг"
3124,"10. див. Приволжский"
276,"03. див. Западная Сибирь"
2875,"08. див. Центральный"
2467,"04. див. Урал"
837,"10. див. Приволжский"
3157,"05. див. Юг"
2217,"06. див. Средняя Волга"
4485,"03. див. Западная Сибирь"
99,"03. див. Западная Сибирь"
100,"03. див. Западная Сибирь"
101,"03. див. Западная Сибирь"
102,"02. див. Восточная Сибирь"
407,"06. див. Средняя Волга"
1705,"09. див. Черноземье"
3509,"03. див. Западная Сибирь"
1577,"05. див. Юг"
425,"04. див. Урал"
752,"03. див. Западная Сибирь"
1017,"03. див. Западная Сибирь"
2066,"01. див. Дальний Восток"
3053,"05. див. Юг"
3526,"03. див. Западная Сибирь"
1940,"06. див. Средняя Волга"
2721,"01. див. Дальний Восток"
2077,"09. див. Черноземье"
4634,"08. див. Центральный"
1305,"02. див. Восточная Сибирь"
2001,"06. див. Средняя Волга"
1551,"04. див. Урал"
1048,"03. див. Западная Сибирь"
3382,"11. див. Северо-Западный"
2328,"09. див. Черноземье"
1586,"09. див. Черноземье"
3430,"01. див. Дальний Восток"
4184,"11. див. Северо-Западный"
132,"02. див. Восточная Сибирь"
2763,"03. див. Западная Сибирь"
3680,"11. див. Северо-Западный"
89,"03. див. Западная Сибирь"
840,"07. див. Верхняя Волга"
3360,"10. див. Приволжский"
1376,"07. див. Верхняя Волга"
1178,"04. див. Урал"
919,"09. див. Черноземье"
1974,"11. див. Северо-Западный"
2583,"07. див. Верхняя Волга"
2130,"03. див. Западная Сибирь"
1257,"06. див. Средняя Волга"
4263,"11. див. Северо-Западный"
1117,"07. див. Верхняя Волга"
1847,"04. див. Урал"
3688,"11. див. Северо-Западный"
465,"04. див. Урал"
2122,"04. див. Урал"
1888,"09. див. Черноземье"
2442,"07. див. Верхняя Волга"
3617,"10. див. Приволжский"
3156,"09. див. Черноземье"
2170,"06. див. Средняя Волга"
3744,"04. див. Урал"
1854,"03. див. Западная Сибирь"
4313,"05. див. Юг"
4201,"07. див. Верхняя Волга"
2371,"07. див. Верхняя Волга"
228,"06. див. Средняя Волга"
2816,"05. див. Юг"
935,"04. див. Урал"
4100,"11. див. Северо-Западный"
4162,"09. див. Черноземье"
4186,"08. див. Центральный"
4200,"11. див. Северо-Западный"
921,"04. див. Урал"
1247,"07. див. Верхняя Волга"
2246,"07. див. Верхняя Волга"
1555,"07. див. Верхняя Волга"
1272,"06. див. Средняя Волга"
1487,"11. див. Северо-Западный"
604,"05. див. Юг"
3738,"07. див. Верхняя Волга"
3253,"05. див. Юг"
289,"03. див. Западная Сибирь"
2719,"09. див. Черноземье"
3480,"05. див. Юг"
2714,"03. див. Западная Сибирь"
963,"05. див. Юг"
2582,"09. див. Черноземье"
539,"09. див. Черноземье"
4432,"09. див. Черноземье"
3794,"10. див. Приволжский"
2837,"09. див. Черноземье"
1404,"05. див. Юг"
1656,"04. див. Урал"
473,"10. див. Приволжский"
409,"02. див. Восточная Сибирь"
317,"06. див. Средняя Волга"
628,"02. див. Восточная Сибирь"
3530,"10. див. Приволжский"
553,"06. див. Средняя Волга"
2000,"04. див. Урал"
1925,"05. див. Юг"
1432,"02. див. Восточная Сибирь"
4414,"10. див. Приволжский"
356,"03. див. Западная Сибирь"
1325,"03. див. Западная Сибирь"
1427,"02. див. Восточная Сибирь"
3266,"11. див. Северо-Западный"
1651,"04. див. Урал"
2045,"04. див. Урал"
1073,"10. див. Приволжский"
3796,"09. див. Черноземье"
4309,"04. див. Урал"
2967,"10. див. Приволжский"
4316,"05. див. Юг"
4199,"08. див. Центральный"
3649,"03. див. Западная Сибирь"
3109,"11. див. Северо-Западный"
2500,"05. див. Юг"
4457,"04. див. Урал"
2017,"05. див. Юг"
463,"10. див. Приволжский"
2124,"09. див. Черноземье"
3856,"11. див. Северо-Западный"
4335,"04. див. Урал"
474,"09. див. Черноземье"
233,"10. див. Приволжский"
1327,"06. див. Средняя Волга"
857,"09. див. Черноземье"
4081,"03. див. Западная Сибирь"
1003,"06. див. Средняя Волга"
2906,"10. див. Приволжский"
563,"07. див. Верхняя Волга"
1238,"06. див. Средняя Волга"
3063,"05. див. Юг"
3391,"09. див. Черноземье"
4429,"06. див. Средняя Волга"
2174,"07. див. Верхняя Волга"
2195,"03. див. Западная Сибирь"
756,"10. див. Приволжский"
724,"10. див. Приволжский"
3706,"05. див. Юг"
2969,"07. див. Верхняя Волга"
2055,"03. див. Западная Сибирь"
2994,"09. див. Черноземье"
1146,"04. див. Урал"
931,"06. див. Средняя Волга"
3985,"03. див. Западная Сибирь"
3654,"03. див. Западная Сибирь"
2684,"05. див. Юг"
2604,"11. див. Северо-Западный"
2091,"09. див. Черноземье"
2354,"03. див. Западная Сибирь"
950,"07. див. Верхняя Волга"
2348,"05. див. Юг"
1838,"04. див. Урал"
2480,"02. див. Восточная Сибирь"
3395,"09. див. Черноземье"
2173,"06. див. Средняя Волга"
1010,"11. див. Северо-Западный"
4327,"10. див. Приволжский"
1564,"03. див. Западная Сибирь"
3473,"04. див. Урал"
3017,"11. див. Северо-Западный"
2747,"06. див. Средняя Волга"
3784,"03. див. Западная Сибирь"
3631,"03. див. Западная Сибирь"
3204,"03. див. Западная Сибирь"
208,"03. див. Западная Сибирь"
2471,"02. див. Восточная Сибирь"
3822,"08. див. Центральный"
2781,"06. див. Средняя Волга"
2036,"03. див. Западная Сибирь"
3587,"08. див. Центральный"
4492,"03. див. Западная Сибирь"
2367,"01. див. Дальний Восток"
3386,"11. див. Северо-Западный"
2757,"06. див. Средняя Волга"
1428,"07. див. Верхняя Волга"
369,"09. див. Черноземье"
4151,"07. див. Верхняя Волга"
4499,"08. див. Центральный"
4057,"10. див. Приволжский"
4194,"08. див. Центральный"
4165,"06. див. Средняя Волга"
67,"03. див. Западная Сибирь"
3676,"04. див. Урал"
4375,"02. див. Восточная Сибирь"
3821,"05. див. Юг"
3318,"10. див. Приволжский"
1130,"08. див. Центральный"
2274,"02. див. Восточная Сибирь"
4298,"06. див. Средняя Волга"
977,"09. див. Черноземье"
1051,"05. див. Юг"
1434,"02. див. Восточная Сибирь"
2145,"06. див. Средняя Волга"
4222,"09. див. Черноземье"
1615,"02. див. Восточная Сибирь"
212,"06. див. Средняя Волга"
3731,"04. див. Урал"
2602,"03. див. Западная Сибирь"
2850,"10. див. Приволжский"
1690,"05. див. Юг"
770,"09. див. Черноземье"
3673,"01. див. Дальний Восток"
703,"09. див. Черноземье"
3351,"10. див. Приволжский"
3952,"01. див. Дальний Восток"
2735,"03. див. Западная Сибирь"
759,"10. див. Приволжский"
2655,"09. див. Черноземье"
43,"02. див. Восточная Сибирь"
2457,"10. див. Приволжский"
3705,"05. див. Юг"
3728,"04. див. Урал"
4338,"04. див. Урал"
3236,"05. див. Юг"
373,"02. див. Восточная Сибирь"
3651,"11. див. Северо-Западный"
4350,"07. див. Верхняя Волга"
181,"03. див. Западная Сибирь"
2320,"09. див. Черноземье"
4145,"08. див. Центральный"
877,"08. див. Центральный"
1924,"09. див. Черноземье"
3666,"08. див. Центральный"
399,"07. див. Верхняя Волга"
769,"02. див. Восточная Сибирь"
3277,"01. див. Дальний Восток"
2717,"10. див. Приволжский"
4435,"10. див. Приволжский"
898,"07. див. Верхняя Волга"
1646,"05. див. Юг"
2318,"10. див. Приволжский"
4257,"05. див. Юг"
1970,"05. див. Юг"
1543,"09. див. Черноземье"
110,"03. див. Западная Сибирь"
2830,"02. див. Восточная Сибирь"
1968,"01. див. Дальний Восток"
1246,"04. див. Урал"
1106,"01. див. Дальний Восток"
1371,"07. див. Верхняя Волга"
2016,"01. див. Дальний Восток"
3549,"05. див. Юг"
1480,"11. див. Северо-Западный"
428,"06. див. Средняя Волга"
1050,"01. див. Дальний Восток"
3695,"04. див. Урал"
510,"09. див. Черноземье"
3718,"10. див. Приволжский"
3034,"04. див. Урал"
4003,"06. див. Средняя Волга"
3766,"03. див. Западная Сибирь"
3550,"05. див. Юг"
1839,"04. див. Урал"
3769,"10. див. Приволжский"
313,"02. див. Восточная Сибирь"
2265,"10. див. Приволжский"
2263,"02. див. Восточная Сибирь"
1845,"07. див. Верхняя Волга"
502,"09. див. Черноземье"
4392,"05. див. Юг"
3279,"06. див. Средняя Волга"
1505,"04. див. Урал"
2791,"04. див. Урал"
764,"06. див. Средняя Волга"
3586,"11. див. Северо-Западный"
2794,"08. див. Центральный"
2299,"10. див. Приволжский"
3234,"04. див. Урал"
3263,"04. див. Урал"
792,"05. див. Юг"
1919,"09. див. Черноземье"
3312,"08. див. Центральный"
3380,"08. див. Центральный"
1948,"04. див. Урал"
1689,"04. див. Урал"
2254,"08. див. Центральный"
1129,"02. див. Восточная Сибирь"
1188,"09. див. Черноземье"
3067,"04. див. Урал"
3491,"03. див. Западная Сибирь"
2229,"08. див. Центральный"
2756,"11. див. Северо-Западный"
4487,"03. див. Западная Сибирь"
3281,"03. див. Западная Сибирь"
1643,"07. див. Верхняя Волга"
478,"07. див. Верхняя Волга"
435,"03. див. Западная Сибирь"
1367,"07. див. Верхняя Волга"
3516,"02. див. Восточная Сибирь"
3883,"06. див. Средняя Волга"
4064,"04. див. Урал"
1929,"01. див. Дальний Восток"
4407,"09. див. Черноземье"
3037,"09. див. Черноземье"
2901,"03. див. Западная Сибирь"
4074,"09. див. Черноземье"
1181,"09. див. Черноземье"
2171,"01. див. Дальний Восток"
4155,"06. див. Средняя Волга"
1191,"03. див. Западная Сибирь"
1561,"09. див. Черноземье"
3228,"08. див. Центральный"
3372,"08. див. Центральный"
631,"06. див. Средняя Волга"
3026,"04. див. Урал"
3333,"10. див. Приволжский"
3861,"10. див. Приволжский"
1089,"05. див. Юг"
3934,"09. див. Черноземье"
2569,"06. див. Средняя Волга"
2219,"11. див. Северо-Западный"
3309,"01. див. Дальний Восток"
4445,"09. див. Черноземье"
4456,"06. див. Средняя Волга"
1390,"09. див. Черноземье"
3113,"11. див. Северо-Западный"
206,"06. див. Средняя Волга"
1861,"03. див. Западная Сибирь"
2118,"05. див. Юг"
4504,"01. див. Дальний Восток"
2300,"02. див. Восточная Сибирь"
3698,"09. див. Черноземье"
1652,"02. див. Восточная Сибирь"
2939,"10. див. Приволжский"
3024,"05. див. Юг"
1910,"09. див. Черноземье"
4438,"04. див. Урал"
1240,"09. див. Черноземье"
3543,"09. див. Черноземье"
4645,"08. див. Центральный"
2041,"04. див. Урал"
3752,"09. див. Черноземье"
4143,"06. див. Средняя Волга"
2819,"11. див. Северо-Западный"
4148,"11. див. Северо-Западный"
4011,"11. див. Северо-Западный"
1611,"10. див. Приволжский"
1100,"05. див. Юг"
1342,"09. див. Черноземье"
2454,"05. див. Юг"
4387,"07. див. Верхняя Волга"
3432,"02. див. Восточная Сибирь"
2127,"04. див. Урал"
1943,"03. див. Западная Сибирь"
3536,"11. див. Северо-Западный"
722,"10. див. Приволжский"
1006,"07. див. Верхняя Волга"
436,"07. див. Верхняя Волга"
1288,"04. див. Урал"
278,"03. див. Западная Сибирь"
3805,"04. див. Урал"
2180,"05. див. Юг"
4090,"06. див. Средняя Волга"
1622,"09. див. Черноземье"
768,"02. див. Восточная Сибирь"
1824,"01. див. Дальний Восток"
319,"04. див. Урал"
330,"04. див. Урал"
250,"06. див. Средняя Волга"
3888,"06. див. Средняя Волга"
4502,"11. див. Северо-Западный"
955,"06. див. Средняя Волга"
4304,"02. див. Восточная Сибирь"
4345,"02. див. Восточная Сибирь"
2829,"02. див. Восточная Сибирь"
2128,"07. див. Верхняя Волга"
391,"03. див. Западная Сибирь"
833,"07. див. Верхняя Волга"
4262,"05. див. Юг"
2262,"09. див. Черноземье"
3703,"09. див. Черноземье"
483,"04. див. Урал"
2950,"11. див. Северо-Западный"
720,"06. див. Средняя Волга"
1304,"08. див. Центральный"
2548,"07. див. Верхняя Волга"
3923,"06. див. Средняя Волга"
2047,"01. див. Дальний Восток"
4082,"05. див. Юг"
160,"02. див. Восточная Сибирь"
161,"01. див. Дальний Восток"
163,"05. див. Юг"
164,"05. див. Юг"
166,"03. див. Западная Сибирь"
167,"03. див. Западная Сибирь"
168,"03. див. Западная Сибирь"
169,"02. див. Восточная Сибирь"
1514,"06. див. Средняя Волга"
148,"03. див. Западная Сибирь"
149,"03. див. Западная Сибирь"
2754,"08. див. Центральный"
3334,"06. див. Средняя Волга"
4651,"08. див. Центральный"
1677,"11. див. Северо-Западный"
2255,"11. див. Северо-Западный"
1446,"06. див. Средняя Волга"
2247,"03. див. Западная Сибирь"
3632,"09. див. Черноземье"
3127,"03. див. Западная Сибирь"
3848,"04. див. Урал"
3671,"11. див. Северо-Западный"
2149,"01. див. Дальний Восток"
4061,"03. див. Западная Сибирь"
3662,"08. див. Центральный"
4386,"07. див. Верхняя Волга"
1633,"09. див. Черноземье"
4136,"10. див. Приволжский"
1887,"10. див. Приволжский"
499,"04. див. Урал"
1851,"10. див. Приволжский"
1112,"03. див. Западная Сибирь"
4009,"04. див. Урал"
1522,"09. див. Черноземье"
381,"06. див. Средняя Волга"
2310,"01. див. Дальний Восток"
3786,"09. див. Черноземье"
1443,"07. див. Верхняя Волга"
4474,"03. див. Западная Сибирь"
3685,"11. див. Северо-Западный"
3460,"11. див. Северо-Западный"
1880,"04. див. Урал"
3911,"06. див. Средняя Волга"
4440,"09. див. Черноземье"
3511,"03. див. Западная Сибирь"
1476,"11. див. Северо-Западный"
1508,"04. див. Урал"
2184,"11. див. Северо-Западный"
3546,"08. див. Центральный"
4501,"08. див. Центральный"
79,"02. див. Восточная Сибирь"
80,"02. див. Восточная Сибирь"
4010,"11. див. Северо-Западный"
1045,"07. див. Верхняя Волга"
3903,"05. див. Юг"
1595,"06. див. Средняя Волга"
3971,"02. див. Восточная Сибирь"
1385,"01. див. Дальний Восток"
2741,"10. див. Приволжский"
1996,"05. див. Юг"
3009,"05. див. Юг"
1421,"09. див. Черноземье"
2287,"01. див. Дальний Восток"
280,"02. див. Восточная Сибирь"
3879,"05. див. Юг"
3743,"10. див. Приволжский"
3745,"04. див. Урал"
1709,"03. див. Западная Сибирь"
2673,"07. див. Верхняя Волга"
2191,"04. див. Урал"
3601,"05. див. Юг"
3970,"10. див. Приволжский"
2859,"02. див. Восточная Сибирь"
1881,"04. див. Урал"
3421,"10. див. Приволжский"
3394,"05. див. Юг"
1850,"04. див. Урал"
1098,"04. див. Урал"
648,"09. див. Черноземье"
871,"02. див. Восточная Сибирь"
1167,"02. див. Восточная Сибирь"
2279,"06. див. Средняя Волга"
2139,"04. див. Урал"
3689,"10. див. Приволжский"
1584,"04. див. Урал"
2563,"06. див. Средняя Волга"
1958,"07. див. Верхняя Волга"
2366,"01. див. Дальний Восток"
4104,"05. див. Юг"
3900,"05. див. Юг"
1962,"01. див. Дальний Восток"
2654,"07. див. Верхняя Волга"
3012,"11. див. Северо-Западный"
3548,"06. див. Средняя Волга"
2188,"06. див. Средняя Волга"
3677,"04. див. Урал"
3082,"10. див. Приволжский"
896,"09. див. Черноземье"
2840,"10. див. Приволжский"
3750,"09. див. Черноземье"
771,"03. див. Западная Сибирь"
2581,"01. див. Дальний Восток"
4239,"01. див. Дальний Восток"
1889,"09. див. Черноземье"
1114,"07. див. Верхняя Волга"
2109,"04. див. Урал"
1913,"05. див. Юг"
4495,"06. див. Средняя Волга"
3177,"09. див. Черноземье"
4044,"03. див. Западная Сибирь"
2908,"09. див. Черноземье"
3906,"05. див. Юг"
653,"03. див. Западная Сибирь"
240,"02. див. Восточная Сибирь"
3119,"03. див. Западная Сибирь"
4092,"07. див. Верхняя Волга"
609,"06. див. Средняя Волга"
632,"04. див. Урал"
3891,"01. див. Дальний Восток"
3297,"04. див. Урал"
1717,"03. див. Западная Сибирь"
1391,"02. див. Восточная Сибирь"
4367,"07. див. Верхняя Волга"
3195,"08. див. Центральный"
4159,"10. див. Приволжский"
1042,"08. див. Центральный"
3634,"10. див. Приволжский"
3264,"10. див. Приволжский"
2920,"07. див. Верхняя Волга"
3798,"01. див. Дальний Восток"
681,"09. див. Черноземье"
912,"07. див. Верхняя Волга"
2894,"05. див. Юг"
1138,"03. див. Западная Сибирь"
3943,"03. див. Западная Сибирь"
4070,"04. див. Урал"
3812,"04. див. Урал"
4379,"02. див. Восточная Сибирь"
3265,"08. див. Центральный"
1435,"02. див. Восточная Сибирь"
2448,"07. див. Верхняя Волга"
2608,"01. див. Дальний Восток"
2377,"02. див. Восточная Сибирь"
1977,"01. див. Дальний Восток"
2989,"09. див. Черноземье"
2734,"02. див. Восточная Сибирь"
482,"10. див. Приволжский"
3439,"10. див. Приволжский"
1515,"05. див. Юг"
1251,"03. див. Западная Сибирь"
3776,"04. див. Урал"
2615,"11. див. Северо-Западный"
4237,"03. див. Западная Сибирь"
4486,"03. див. Западная Сибирь"
374,"10. див. Приволжский"
3608,"10. див. Приволжский"
3365,"09. див. Черноземье"
2782,"01. див. Дальний Восток"
3561,"09. див. Черноземье"
1710,"11. див. Северо-Западный"
1153,"07. див. Верхняя Волга"
3241,"10. див. Приволжский"
4305,"04. див. Урал"
2797,"05. див. Юг"
1927,"04. див. Урал"
1059,"08. див. Центральный"
934,"01. див. Дальний Восток"
54,"02. див. Восточная Сибирь"
1956,"11. див. Северо-Западный"
811,"10. див. Приволжский"
3163,"09. див. Черноземье"
2809,"11. див. Северо-Западный"
2426,"07. див. Верхняя Волга"
1951,"07. див. Верхняя Волга"
1891,"04. див. Урал"
415,"04. див. Урал"
1064,"09. див. Черноземье"
1702,"04. див. Урал"
470,"07. див. Верхняя Волга"
95,"03. див. Западная Сибирь"
4398,"05. див. Юг"
3783,"03. див. Западная Сибирь"
3247,"11. див. Северо-Западный"
1520,"03. див. Западная Сибирь"
3475,"05. див. Юг"
804,"03. див. Западная Сибирь"
1309,"03. див. Западная Сибирь"
2742,"02. див. Восточная Сибирь"
1061,"04. див. Урал"
1236,"02. див. Восточная Сибирь"
3704,"09. див. Черноземье"
989,"06. див. Средняя Волга"
1228,"06. див. Средняя Волга"
849,"08. див. Центральный"
2584,"10. див. Приволжский"
3646,"07. див. Верхняя Волга"
784,"08. див. Центральный"
42,"02. див. Восточная Сибирь"
4091,"10. див. Приволжский"
1718,"03. див. Западная Сибирь"
438,"07. див. Верхняя Волга"
850,"05. див. Юг"
683,"10. див. Приволжский"
1079,"08. див. Центральный"
2301,"09. див. Черноземье"
3186,"04. див. Урал"
4022,"07. див. Верхняя Волга"
557,"07. див. Верхняя Волга"
1986,"05. див. Юг"
2051,"09. див. Черноземье"
4344,"10. див. Приволжский"
870,"09. див. Черноземье"
4415,"05. див. Юг"
332,"03. див. Западная Сибирь"
258,"03. див. Западная Сибирь"
3033,"04. див. Урал"
687,"09. див. Черноземье"
2845,"02. див. Восточная Сибирь"
2453,"11. див. Северо-Западный"
1664,"08. див. Центральный"
2347,"11. див. Северо-Западный"
3036,"05. див. Юг"
3895,"05. див. Юг"
223,"03. див. Западная Сибирь"
1883,"03. див. Западная Сибирь"
2764,"04. див. Урал"
3215,"02. див. Восточная Сибирь"
348,"10. див. Приволжский"
4066,"09. див. Черноземье"
1253,"04. див. Урал"
3474,"06. див. Средняя Волга"
3035,"04. див. Урал"
2176,"11. див. Северо-Западный"
1614,"05. див. Юг"
1227,"04. див. Урал"
452,"04. див. Урал"
2914,"10. див. Приволжский"
3076,"10. див. Приволжский"
3288,"08. див. Центральный"
3310,"01. див. Дальний Восток"
1567,"09. див. Черноземье"
401,"04. див. Урал"
3553,"03. див. Западная Сибирь"
1303,"05. див. Юг"
1897,"09. див. Черноземье"
